campaign_id,landlord_model,world_seed,completed_cells,signed_leases,zero_rent_leases,ir_violations,cells_with_ir_violation,source_artifact,source_artifact_sha256
housing_model_sensitivity_openrouter_parasail_v19,glm_53_flash,1758927083,6,18,0,1,1,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v20,deepseek_v4_flash,227922569,2,4,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v20/trajectories/attempted.json,f187448f11f07392eec8c1051f15c1230f251195ffb1da89ca8e509997d6fc24
housing_model_sensitivity_openrouter_parasail_v20,glm_53_flash,227922569,2,4,1,1,1,evidence/housing_model_sensitivity_openrouter_parasail_v20/trajectories/attempted.json,f187448f11f07392eec8c1051f15c1230f251195ffb1da89ca8e509997d6fc24
housing_model_sensitivity_openrouter_parasail_v22,deepseek_v4_flash,227922569,2,4,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v22/trajectories/attempted.json,57269389a54db4a075d42975cf0a79d9fcc5d3185e24e8f6504d7bf31f76b60a
housing_model_sensitivity_openrouter_parasail_v22,glm_53_flash,227922569,2,4,2,2,1,evidence/housing_model_sensitivity_openrouter_parasail_v22/trajectories/attempted.json,57269389a54db4a075d42975cf0a79d9fcc5d3185e24e8f6504d7bf31f76b60a
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,123194022,12,34,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,145537168,11,32,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,264284765,12,36,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,722524881,11,34,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,981417412,12,35,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,1460378342,11,28,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,1535604354,10,31,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,deepseek_v4_flash,1971418798,12,41,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,123194022,12,37,5,6,5,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,145537168,12,36,6,7,6,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,264284765,12,35,2,2,2,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,722524881,12,39,4,6,4,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,981417412,12,33,2,2,2,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,1460378342,12,30,6,6,5,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,1535604354,11,35,4,4,3,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v23,glm_53_flash,1971418798,12,39,5,5,4,evidence/housing_model_sensitivity_openrouter_parasail_v23/trajectories/attempted.json,cd680ccdb6fb82f5a26ef25751a43a9ac1c954e128d28d8aa879d9d6c87b418c
housing_model_sensitivity_openrouter_parasail_v24,deepseek_v4_flash,227922569,2,4,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v24/trajectories/attempted.json,ca568d87b4941dab595e0c98561ddf4006ec6f9c3b3a2f084a834a03ab783e46
housing_model_sensitivity_openrouter_parasail_v24,glm_53_flash,227922569,2,4,1,1,1,evidence/housing_model_sensitivity_openrouter_parasail_v24/trajectories/attempted.json,ca568d87b4941dab595e0c98561ddf4006ec6f9c3b3a2f084a834a03ab783e46
housing_model_sensitivity_openrouter_parasail_v26,deepseek_v4_flash,123194022,12,36,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v26/trajectories/attempted.json,6d6ec98efc70ae417dc1fb9066566f19c61b54f137de6c092fccb4e3be55293d
housing_model_sensitivity_openrouter_parasail_v26,deepseek_v4_flash,145537168,12,35,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v26/trajectories/attempted.json,6d6ec98efc70ae417dc1fb9066566f19c61b54f137de6c092fccb4e3be55293d
